ts,interval,symbol,open,high,low,close,volume,delta,delta_250k_geq,delta_166k_to_250k,delta_86k_to_166k,delta_50k_to_86k,delta_26k_to_50k,delta_11k_to_26k,delta_11k_lt
2016-04-17 00:00:00,1d,XBTUSD,430.93,432.21,425.33,428.04,244919,-46067,0,0,0,-65096,0,-11041,30070
2016-04-18 00:00:00,1d,XBTUSD,427.76,430.38,427.27,430.38,139790,-59200,0,0,0,-83568,0,0,24368
2016-04-19 00:00:00,1d,XBTUSD,430.5,438.85,428.56,437.03,226325,-22881,0,0,0,-60055,0,0,37174
2016-04-20 00:00:00,1d,XBTUSD,436.77,446.49,434.82,443.7,710504,12492,0,0,0,0,-45756,0,58248
2016-04-21 00:00:00,1d,XBTUSD,443.91,453.63,441.61,451.61,1047914,-12974,0,0,-132167,0,0,0,119193
2016-04-22 00:00:00,1d,XBTUSD,451.9,451.94,444.23,448,764968,-184246,0,0,-139561,0,0,-20000,-24685
2016-04-23 00:00:00,1d,XBTUSD,448.63,454.75,445.82,454.62,956624,33610,0,0,-133883,0,0,0,167493
2016-04-24 00:00:00,1d,XBTUSD,454.36,467.12,447.81,464.79,2135164,217418,-250395,0,0,0,142489,40775,284549
2016-04-25 00:00:00,1d,XBTUSD,465.14,472.32,455.56,463.03,1222200,-21662,0,0,-90501,56248,31488,20302,-39199
2016-04-26 00:00:00,1d,XBTUSD,463.02,473.39,462.63,468.43,943793,-61451,0,0,-153391,0,0,12127,79813
2016-04-27 00:00:00,1d,XBTUSD,469.2,469.99,443.03,445.11,1385867,-222251,0,0,-86349,0,0,47507,-183409
2016-04-28 00:00:00,1d,XBTUSD,445.05,450.36,433,450.02,1049334,118902,0,0,-8376,0,0,24000,103278
2016-04-29 00:00:00,1d,XBTUSD,450.65,457.17,445.79,456.39,607830,-34258,0,0,-88397,0,0,0,54139
2016-04-30 00:00:00,1d,XBTUSD,456.39,456.39,445.52,446.7,309677,-107477,0,0,0,-63208,0,0,-44269
2016-05-01 00:00:00,1d,XBTUSD,447.99,452.8,446.57,451.41,311584,-81030,0,0,0,-82422,0,0,1392
2016-05-02 00:00:00,1d,XBTUSD,451.71,452.52,437.06,443.59,891501,-208105,0,0,0,-84893,0,0,-123212
2016-05-03 00:00:00,1d,XBTUSD,443.68,451.46,439.66,449.75,416444,12328,0,0,0,-69873,0,0,82201
2016-05-04 00:00:00,1d,XBTUSD,449.7,449.7,444.07,446.95,311163,-10293,0,0,0,0,-31155,0,20862
2016-05-05 00:00:00,1d,XBTUSD,446.91,450.12,445.43,448.13,414141,78945,0,0,0,0,0,0,78945
2016-05-06 00:00:00,1d,XBTUSD,448.53,463.9,447.1,459.94,440302,135158,0,0,0,0,0,0,135158
2016-05-07 00:00:00,1d,XBTUSD,460.19,462.47,457.38,459.54,311135,6409,0,0,0,0,0,0,6409
2016-05-08 00:00:00,1d,XBTUSD,458.61,460.62,455.61,459.9,288704,9420,0,0,0,0,0,0,9420
2016-05-09 00:00:00,1d,XBTUSD,457.26,465.51,456.5,462.23,291938,6271,0,0,0,0,0,0,6271
2016-05-10 00:00:00,1d,XBTUSD,461.51,463.49,445.6,450.59,416197,-30819,0,0,0,0,0,0,-30819
2016-05-11 00:00:00,1d,XBTUSD,450.44,454.33,450.33,451.39,218195,20136,0,0,0,0,0,0,20136
2016-05-12 00:00:00,1d,XBTUSD,451.5,455.3,446.4,454.75,338949,-31797,0,0,0,0,0,0,-31797
2016-05-13 00:00:00,1d,XBTUSD,454.47,457.72,452.56,456.49,374620,84616,0,0,0,0,0,0,84616
2016-05-14 00:00:00,1d,XBTUSD,456.7,458.43,454.69,455.81,650624,-46740,0,0,0,0,0,-100000,53260
2016-05-15 00:00:00,1d,XBTUSD,455.82,459.6,454.84,457.75,547849,86001,0,0,0,0,0,0,86001
2016-05-16 00:00:00,1d,XBTUSD,457.91,458.82,450.33,452.7,974502,-142216,0,0,0,0,0,0,-142216
2016-05-17 00:00:00,1d,XBTUSD,452.61,454.38,451.65,452.75,569805,67281,0,0,0,0,0,0,67281
2016-05-18 00:00:00,1d,XBTUSD,452.53,456.25,452.07,454.01,376248,30062,0,0,0,0,0,0,30062
2016-05-19 00:00:00,1d,XBTUSD,454.07,454.23,432.86,433,2140400,-427400,0,0,0,0,0,48664,-476064
2016-05-20 00:00:00,1d,XBTUSD,433.3,442.67,432.38,440.36,1143359,-38489,0,0,0,0,-29799,64847,-73537
2016-05-21 00:00:00,1d,XBTUSD,440.36,441.7,437.26,440.49,511318,158884,0,0,0,0,0,34800,124084
2016-05-22 00:00:00,1d,XBTUSD,440.68,440.98,434.81,436.5,1184607,-536589,0,0,0,0,-93567,-22600,-420422
2016-05-23 00:00:00,1d,XBTUSD,436.44,443.35,435.81,442.38,1074909,190833,0,0,0,0,0,0,190833
2016-05-24 00:00:00,1d,XBTUSD,442.42,445.44,441.64,443.05,773484,-25488,0,0,0,0,0,11300,-36788
